"02/06/08","C0216","SI160415","FREIGHT","Freight & Insurance Cost","1","PCS","332","332","","","0","COSTS","","","FZE018/08/Sample/Dublas","","SOR039531","120000","0","","0","06/03/08","","0","0.0309325546578240804"
"02/06/08","C0150","SI160404","0028782-0007","Pendant","40","PCS","35.81","1,432.4","417","YG","1.25","VOLUME","KA-2001-1","JB229-GB000221B3J035","PO#13927.DFXC/ship to canada","P358T1W4","SOR039807","10000","1.57","","1.56675","03/04/08","CLASSIC","1.56675","0.030961861179399216"
"02/06/08","C0216","SI160410","0036865-0003","Drop earring FWP CR./BTOP/PTO!","1","PAIR","111.62","111.62","750","WG","0","VOLUME","CL 2006-1","09929-BP422711000031","FZE041/08/KHAL ABD","","SOR040185","20000","3.51","","3.512","08/05/08","CLASSIC","3.512","0.0309325546578240804"
"02/06/08","C0216","SI160410","0036866-0003","Pendant FWP CR./BTOP/PTOUR/PER","1","PCS","60.68","60.68","750","WG","0","VOLUME","CL 2006-1","09930-GP422711000000","FZE041/08/KHAL ABD","","SOR040185","30000","1.73","","1.726","08/05/08","CLASSIC","1.726","0.0309325546578240804"
"02/06/08","C0216","SI160410","0036867-0003","Ring ladies FWP CR./BTOP/PTOU!","1","PCS","128.2","128.2","750","WG","0","VOLUME","CL 2006-1","09931-LP422711000000","FZE041/08/KHAL ABD","","SOR040185","10000","4.33","","4.332","08/05/08","CLASSIC","4.332","0.0309325546578240804"
"02/06/08","C0216","SI160406","0039544-0002","Ring ladies","1","PCS","708.22","708.22","750","WG","0","CUSTOM","HDB-2007","A2573-LP000711433000","FZE016/08","HDB0192","SOR039407","130000","11.21","","11.2099","26/02/08","MKS BRAND","11.2099","0.0309325546578240804"
"02/06/08","C0216","SI160406","0039590-0002","Ring ladies","1","PCS","921.72","921.72","750","WG","0","CUSTOM","HDB-2007","A2587-LP0007114B3000","FZE016/08","HDB0205-SUB","SOR039407","120000","10.68","","10.6829","26/02/08","MKS BRAND","10.6829","0.0309325546578240804"
"02/06/08","C0216","SI160408","0039834-0004","Ring ladies","1","PCS","346.27","346.27","750","WG","0","CUSTOM","HDB-TWIN07","A2700-LP0007114C3000","FZE032/08/SHAL SA","HDB0216W","SOR040009","15000","5.2","","5.20212","21/04/08","MKS BRAND","5.20212","0.0309325546578240804"
"02/06/08","C0216","SI160408","0040256-0003","Ring ladies","1","PCS","565.34","565.34","750","WG","0","CUSTOM","HDB-TWIN07","A2869-LP000711463124","FZE032/08/SHAL SA","HDB0349E","SOR040009","25000","7.33","","7.32896","21/04/08","MKS BRAND","7.32896","0.0309325546578240804"
"02/06/08","C0216","SI160408","0040266-0003","Ring ladies","1","PCS","335.58","335.58","750","WG","0","CUSTOM","HDB-TWIN07","A2879-LP000711463124","FZE032/08/SHAL SA","HDB0216E","SOR040009","35000","5.59","","5.59472","21/04/08","MKS BRAND","5.59472","0.0309325546578240804"
